Tipo,NCM,Descricao,Valor Total
Monofasico,33043000,"ACETONA FARMAX 100 ML (DAR BAIXA NO TAG)",3.99
Monofasico,30049077,"BETACORTAZOL CREME 30G (CETOC+BETAM+NEOM",18.0
Monofasico,30049077,"BETACORTAZOL CREME 30G (CETOC+BETAM+NEOM",18.0
Monofasico,30049047,"MERTHIOLATE SOL SPRAY",24.8
Monofasico,33059000,"CR TRAT SKALA 1KG FRUT MELANCIA",12.79
Monofasico,33043000,"ESMALTE RISQUE 9,5ML DIAMOND GEL CORES -",11.99
Monofasico,30049029,"ARTRINID 50MG C/24 CAP UNIAO QUIMICA",20.0
Monofasico,30049069,"DIPIRONA 1G 10CPR (NATULAB)",10.0
Monofasico,30049045,"PARACETAMOL 750MG 20CPR BLF",10.0
Monofasico,30042099,"SULF.NEOMICINA+BACITRACINA 5MG/G+250UI/G 10G UQM",14.0
Monofasico,30049059,"ROSUVASTATINA CALCICA 20MG GEN CPR C/30-SZ",30.0
Monofasico,30066000,"ELANI CICLO 3MG/30MCG CPR 1X21-ETICO",69.98
Monofasico,30049099,"NENE DENT GEL C/ 10 GR",21.85
Monofasico,33072090,"DES HERBISSIMO CR 055G TALCO *",7.99
Monofasico,33043000,"ESM RISQUE CARE SECANTE EXPRESS NU",29.97
Monofasico,30049069,"TINIDAZOL + NITRATO DE MICONAZOL 30MG/G + 20MG/G",25.0
Monofasico,30049069,"CIPROFLOXACINO*AM 500MG 14CPR MLB",26.0
Monofasico,30049069,"PYRIDIUM 200MG DRG 1X18-ETICO",30.64
Monofasico,33072010,"DESD POWDER DRY (TAG)",18.99
Monofasico,30066000,"DROSPIRENONA+ETINILESTRADIOL3+0,03 C/21",31.5
Monofasico,30049069,"SAND DOURADA COM BRILHO VIZZANO 37",149.99
Monofasico,30049099,"DOLOMITA 800G LABOTRAT",19.99
Monofasico,33059000,"CR SKALA AMIDO DE MILHO 2 EM 1",12.79
Monofasico,33051000,"SHP SEDA COCRIACOES (TAG)",12.99
Monofasico,30049069,"PIRANHA DE PLASTICO MEDIA COLORIDAS",2.99
Monofasico,30042099,"NEBACETIN POM 15G NOVO-REFERENCIA",26.23
Monofasico,30049069,"COBAVITAL 16 CP R ABF",24.08
Monofasico,30032029,"AZITROMICINA 500 MG C/ 5 CPR GEN-GL",22.0
Monofasico,30049099,"REPOFLOR 200MG 6CPS. (SACCHAROMYCES CEREVISAE)",36.0
Monofasico,30049062,"KAOSEC 2 MG C/4 COMP",2.0
Monofasico,30049069,"BETAISTINA 24MG 30CP BIO",23.4
Monofasico,33072090,"HIDR. PAIXAO 200ML",12.99
Monofasico,30049029,"BUPROVIL 600 MG C/20 CPM",9.99
Monofasico,30049029,"CETOPROFENO 150MG C/10CP",27.0
Monofasico,30049069,"FLUXON 75 MG C/ 30 CP (CINARIZINA)",20.71
Monofasico,30049072,"BELFACTRIMFCOMCXC10",40.0
Monofasico,30049039,"KIT NIMESULIDA 100MG C/ 3 UNID",10.0
